rk,team_name,conf,adj_o,adj_d,efg_off,efg_def,tov_off,tov_def,orb_off,orb_def,ftr_off,ftr_def,ft_pct_off,ft_pct_def,two_pt_off,two_pt_def,three_pt_off,three_pt_def
1,Saint Louis,A10,119.5,102.2,59.7,44.8,17.4,16.1,31.1,27.0,34.7,37.2,74.4,73.2,58.9,44.6,40.5,30.0
2,Miami OH,MAC,116.7,107.6,59.2,50.8,14.5,17.5,25.3,28.1,40.2,30.9,75.0,74.0,61.5,51.6,37.5,33.0
3,Akron,MAC,117.2,105.4,58.5,50.6,15.5,18.4,33.5,29.9,29.1,30.3,75.3,72.2,59.1,49.0,38.5,35.1
4,Michigan,B10,127.6,91.0,58.1,44.7,16.7,15.5,35.4,27.7,37.7,26.3,74.7,75.1,61.0,44.3,36.0,30.2
5,Purdue,B10,133.3,100.3,57.6,52.3,13.5,15.6,36.3,26.4,28.6,26.0,74.3,72.0,58.1,53.1,37.9,34.2
6,Duke,ACC,128.2,90.8,56.8,46.2,15.7,18.1,38.1,24.8,37.8,23.7,72.4,71.7,60.1,46.6,35.1,30.4
7,Utah St.,MWC,123.0,102.1,56.6,49.6,15.4,20.6,33.1,32.2,38.7,38.9,70.6,73.3,59.3,48.7,35.1,33.9
8,Queens,ASun,114.7,117.1,56.6,54.0,14.8,15.0,30.4,33.0,36.3,38.7,74.9,73.2,59.0,54.1,35.9,35.8
9,Iowa,B10,122.1,100.2,56.6,52.7,15.2,21.0,30.1,28.0,34.5,39.1,77.0,73.1,58.7,54.0,35.7,33.7
10,Ohio St.,B10,125.2,101.6,56.5,50.3,15.4,15.8,30.8,30.0,37.8,35.1,77.5,74.3,58.2,52.3,36.0,31.6
11,Iowa St.,B12,123.8,92.6,56.5,49.5,15.1,22.4,35.3,28.1,34.0,27.9,67.2,71.5,55.5,50.5,38.7,32.1
12,Arkansas,SEC,127.9,101.7,56.5,51.4,12.3,15.7,32.2,31.2,36.4,31.3,74.7,72.0,55.6,53.7,38.9,31.7
13,Louisville,ACC,124.0,98.2,56.4,48.8,16.4,16.7,32.9,26.9,33.5,33.4,76.9,71.2,59.7,48.6,35.7,32.7
14,Gonzaga,WCC,120.3,94.0,56.3,46.2,13.7,20.5,34.8,25.9,31.1,31.0,69.9,71.3,58.7,46.2,34.0,30.8
15,Texas Tech,B12,126.3,98.8,56.2,49.4,15.9,14.7,33.3,30.1,27.1,31.6,71.5,69.4,53.6,50.6,39.3,31.5
16,SMU,ACC,123.0,105.0,55.7,51.4,15.9,17.1,35.4,31.6,30.6,32.0,74.1,71.8,55.5,52.0,37.4,33.9
17,Miami FL,ACC,121.1,101.5,55.6,51.7,16.2,18.4,37.0,26.3,37.5,29.0,68.5,69.7,57.2,50.8,34.7,35.4
18,Nebraska,B10,117.2,93.5,55.4,47.8,14.4,19.2,26.3,27.7,27.2,24.8,75.0,72.6,58.1,50.6,35.3,29.9
19,Alabama,SEC,129.5,102.8,55.4,49.2,13.0,12.6,31.8,32.8,37.2,32.7,76.5,69.7,57.3,48.6,35.8,33.5
20,Vanderbilt,SEC,127.5,99.3,55.3,48.8,13.3,17.9,31.2,31.6,38.2,41.0,79.3,75.2,56.8,49.1,35.5,32.2
21,Connecticut,BE,123.1,95.0,55.3,45.7,16.8,18.0,35.7,28.7,30.0,40.2,71.6,71.9,57.1,45.8,35.2,30.3
22,Missouri,SEC,119.9,103.0,55.3,51.4,18.0,16.6,35.5,31.4,42.5,35.1,68.6,74.7,56.9,48.9,35.0,36.5
23,N.C. State,ACC,124.1,104.7,55.3,53.0,13.1,18.2,28.5,30.3,35.2,36.5,76.8,69.8,53.1,52.7,38.8,35.6
24,Arizona,B12,126.9,91.4,55.1,45.0,15.1,16.7,38.1,26.9,42.9,27.7,73.4,71.5,55.4,43.8,36.0,31.4
25,Illinois,B10,131.9,98.2,55.1,47.6,13.2,11.6,38.7,27.0,32.9,20.6,78.9,73.4,58.2,48.0,34.7,31.4
26,Furman,SC,106.9,109.0,54.8,50.1,17.8,13.7,31.0,27.5,32.1,28.9,69.8,70.2,59.0,50.9,33.3,32.6
27,BYU,B12,124.7,104.3,54.7,51.2,15.3,16.5,34.6,29.3,34.2,28.9,74.6,71.3,56.2,50.0,34.9,35.3
28,High Point,BSth,115.7,107.5,54.7,50.1,13.0,21.9,32.1,31.7,42.9,36.4,74.2,70.5,57.1,51.6,34.4,31.9
29,Virginia,ACC,122.3,95.8,54.6,45.3,16.0,15.6,37.9,29.2,33.0,33.0,72.6,75.8,55.2,44.7,35.9,30.9
30,North Carolina,ACC,121.4,100.0,54.6,48.2,14.0,13.6,31.4,28.1,37.4,23.8,68.4,70.1,56.7,46.1,34.5,34.5
31,Santa Clara,WCC,125.0,103.7,54.6,51.8,15.6,20.1,36.7,32.3,25.8,38.3,74.0,73.6,56.5,53.2,34.9,33.0
32,Georgia,SEC,124.3,104.8,54.6,50.1,14.3,18.4,35.2,34.9,37.0,30.8,75.4,71.7,57.3,49.9,34.1,33.7
33,Wisconsin,B10,127.2,101.6,54.5,51.3,12.8,14.4,29.4,28.2,31.9,30.5,78.6,72.9,54.8,52.3,36.1,33.3
34,Wright St.,Horz,112.4,109.0,54.4,52.1,16.3,16.5,33.2,29.2,38.0,33.5,74.5,74.0,54.5,52.9,36.1,33.6
35,Texas A&M,SEC,119.9,101.4,54.2,50.8,14.6,18.3,32.3,32.5,37.4,35.6,73.7,74.8,54.1,53.1,36.2,31.7
36,Texas,SEC,124.0,106.4,54.2,51.2,15.3,13.4,35.7,26.9,46.2,40.7,75.3,74.0,55.3,49.8,34.9,36.0
37,Northern Iowa,MVC,109.7,98.6,54.2,47.2,14.6,18.1,22.0,26.3,25.7,29.3,69.7,71.8,55.3,50.0,34.9,28.9
38,VCU,A10,119.3,103.1,54.1,48.9,15.2,17.2,32.3,29.9,43.7,33.1,73.9,71.2,53.3,48.4,36.7,33.1
39,UCLA,B10,124.5,101.8,53.9,50.4,13.4,18.1,31.1,32.4,33.1,34.7,76.7,75.3,52.0,52.7,38.2,31.8
